"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"GOBP_CARBOHYDRATE_TRANSPORT.X[[i]]","OCLN","SLC35B1","SLC35A1","SORBS1","ARPP19","SLC27A4","SLC35D2","CAPN10","SLC2A6","SLC35A4","OSBPL8","SLC5A11","SLC5A10","MFSD12","CREBL2","MAPK14","SLC2A14","MFSD4A","ERFE","SLC2A12","SLC2A7","EDN1","EDNRA","SLC5A9","AKT1","AKT2","FABP5","SLC37A2","SLC35D1","RHOQ","SLC35A3","OPN3","STXBP4","SLC37A4","CLIP3","APPL1","FGF21","SLC17A5","GH1","GIP","GPC3","AQP11","TRARG1","GRB10","KLF15","GSK3A","SLC2A8","HK2","FFAR4","SLC35D3","OSTN","IGF1","IL1B","AQP1","AQP2","AQP3","INS","AQP7","INSR","AQP9","IRS1","SLC27A1","C1QTNF12","MFSD2B","LEP","MIR103A1","MIR107","MIR143","MIR223","MEF2A","NFE2L2","SLC45A1","SLC45A2","PRKAG2","ENPP1","INPP5K","PIK3R1","PLA2G1B","PLS1","RAB4B","SLC37A1","POU4F2","PPARD","PPBP","PID1","SLC35A5","APPL2","TMEM144","SLC35C1","SMPD3","ITLN1","ZDHHC7","PRKCB","SELENOS","PRKCI","SLC50A1","SLC2A9","SLC45A4","PTH","TRIB3","PTPN11","RAP1A","RNASEL","RPS6KB1","RSC1A1","RTN2","SORT1","SLC26A6","SLC2A1","SLC2A2","SLC2A3"
"GOBP_RESPONSE_TO_CARBOHYDRATE.X[[i]]","ZBED6","CALCRL","RACK1","UNC13B","ATG7","TXNIP","CFTR","GJB6","PPARGC1A","ADCY5","KAT7","ADCY8","UCN3","CMA1","GJD3","COL4A3","COL6A2","ACVR1C","SLC9B2","CPB2","CRH","CCN2","ADRA2A","CYP7A1","SLC30A8","NQO1","AGER","EFNA5","EGR1","EIF2B1","ENDOG","SLC29A1","EPHA5","ERCC1","ERN1","PTK2B","RFX6","FKBP1B","RAB11FIP2","P2RX2","SARM1","SLC39A14","STXBP4","G6PC","TXN2","MPC2","SIN3A","RAB11FIP5","ZBTB20","GAS6","GATA4","FGF21","GCG","GCK","GCKR","GHRHR","GIP","GIPR","GJA1","GCLM","GOT1","GPLD1","ANGPT2","GPR27","GPER1","GRIK5","PHPT1","GSTP1","GYS2","HIF1A","HLA-DRB1","FOXA2","HNF4A","APOA2","APOB","ICAM1","IGF1R","PDX1","ITGA2","KCNB1","KCNJ11","KHK","KIF5B","KRT18","ILDR2","C1QTNF12","MAFA","LDHA","LEP","LGALS1","LPL","LRP1","LRP5","LYN","MIRLET7G","MIR146A","MIR15A","MIR16-1","MIR221","SMAD2","MAP1B","PIM3","ME1","NDUFA9","NEUROD1","NKX2-2","NKX6-1","NME1","NME2","OPA1","OXCT1"
"GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","ZMPSTE24","BCKDK","MAEA","FAM3C","NCOA2","SORBS1","ARPP19","PPARGC1A","WDR5","DUSP12","C1QTNF1","C1QTNF3","CLK2","COX11","CRY1","SOGA1","SERPINA12","SIK1","ERFE","DGKQ","DDB1","EP300","AKT1","AKT2","ESRRB","PTK2B","FBP1","FOXK1","PASK","SIRT1","MLYCD","MTOR","GCG","GCGR","GCK","GCKR","NUPR1","KAT2A","GNMT","GNB3","GPLD1","PGP","GPER1","GPT","GIT1","GSK3A","GSK3B","HMGB1","FOXA2","ACACB","HRH1","IGF1","IGF2","IGFBP3","IGFBP4","FOXK2","INS","INSR","IRS1","KHK","C1QTNF12","LEP","LEPR","LHCGR","MIR103A1","MIR107","MIR210","MAS1","MST1","MYOG","NTSR1","P2RY1","P2RY6","PRKN","ADIPOR1","LCMT1","SIRT7","PDK1","PDK2","PDK3","PDK4","ENPP1","CD244","INPP5K","PFKFB1","PFKFB2","PGAM1","PHKG2","PLEK","PMAIP1","POMC","DDIT4","PPARA","NKX1-1","PPP1CA","PPP1CB","PPP1R3A","PPP1R3C","PPP1R3D","AVPR1B","PRKCE","SELENOS","SDHAF3","TIGAR","BAD","PPP4R3B","PTAFR","PTH","PTH1R","NLN","PTPN2"
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","SORBS1","ARPP19","PPARGC1A","WDR5","DDB1","AKT1","AKT2","ESRRB","SIRT1","GCG","GCK","KAT2A","GPLD1","GPER1","GPT","HMGB1","HRH1","IGF1","IGF2","INS","INSR","IRS1","LHCGR","MIR103A1","MIR107","MIR210","MAS1","NTSR1","P2RY1","P2RY6","CD244","PHKG2","PMAIP1","PPARA","AVPR1B","PRKCE","PPP4R3B","PTAFR","PTH","PTH1R","PTPN2","PPP1R3G","SNCA","SRC","DYRK2","DGAT2","SLC45A3","SLC25A12","IRS2","KAT2B","ACTN3","PPP1R3E","RGN","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT.X[[i]]","OCLN","SORBS1","ARPP19","CAPN10","OSBPL8","CREBL2","MAPK14","ERFE","EDN1","EDNRA","AKT1","AKT2","FABP5","RHOQ","OPN3","STXBP4","CLIP3","APPL1","FGF21","GH1","GIP","GPC3","GRB10","KLF15","GSK3A","HK2","FFAR4","OSTN","IGF1","IL1B","INS","INSR","IRS1","C1QTNF12","LEP","MIR103A1","MIR107","MIR143","MIR223","MEF2A","NFE2L2","PRKAG2","ENPP1","INPP5K","PIK3R1","PLA2G1B","POU4F2","PID1","APPL2","ITLN1","PRKCB","SELENOS","PRKCI","PTH","TRIB3","PTPN11","RAP1A","RNASEL","RPS6KB1","RSC1A1","RTN2","SLC2A1","BRAF","STXBP3","TERT","TNF","C3","ASPSCR1","ADIPOR2","NR4A3","CLTCL1","IRS2","PEA15","ADIPOQ","SLC25A27","C2CD5","FGF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT.X[[i]]","OCLN","SORBS1","ARPP19","CAPN10","OSBPL8","CREBL2","MAPK14","ERFE","AKT1","AKT2","RHOQ","OPN3","CLIP3","APPL1","FGF21","GH1","GIP","GPC3","KLF15","IGF1","INS","INSR","IRS1","C1QTNF12","MIR223","MEF2A","NFE2L2","PIK3R1","POU4F2","ITLN1","PRKCI","PTH","PTPN11","RAP1A","RNASEL","BRAF","TERT","C3","ADIPOR2","NR4A3","CLTCL1","IRS2","ADIPOQ","C2CD5","FGF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT.X[[i]]","FABP5","GRB10","GSK3A","OSTN","IL1B","LEP","MIR103A1","MIR107","MIR143","ENPP1","INPP5K","PID1","APPL2","PRKCB","SELENOS","RSC1A1","STXBP3","TNF","PEA15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS.X[[i]]","ZMPSTE24","BCKDK","MAEA","FAM3C","NCOA2","SORBS1","ARPP19","PPARGC1A","WDR5","DUSP12","C1QTNF1","C1QTNF3","CLK2","COX11","CRY1","SOGA1","SERPINA12","SIK1","ERFE","DGKQ","DDB1","EP300","AKT1","AKT2","ESRRB","FBP1","FOXK1","PASK","SIRT1","MLYCD","MTOR","GCG","GCGR","GCK","GCKR","KAT2A","GNMT","GNB3","GPLD1","PGP","GPT","GSK3A","GSK3B","HMGB1","FOXA2","ACACB","IGF1","IGF2","IGFBP3","IGFBP4","FOXK2","INS","INSR","IRS1","KHK","C1QTNF12","LEP","LEPR","MIR103A1","MIR107","MIR210","MST1","PRKN","ADIPOR1","LCMT1","SIRT7","PDK1","PDK2","PDK3","PDK4","ENPP1","INPP5K","PFKFB1","PFKFB2","PHKG2","PMAIP1","POMC","PPARA","NKX1-1","PPP1CA","PPP1CB","PPP1R3A","PPP1R3C","PPP1R3D","SELENOS","SDHAF3","TIGAR","BAD","PPP4R3B","PTH","NLN","PTPN2","RANBP2","FAM3A","RORA","RORC","PPP1R3G","SRC","TP53","PHLDA2","USP7","PPP1R3B","RUBCNL","SESN2","DYRK2","DGAT2","OGT","SLC35B4","SLC45A3","SLC25A12","IRS2"
"GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS.X[[i]]","SORBS1","ARPP19","PPARGC1A","WDR5","DDB1","AKT1","AKT2","ESRRB","SIRT1","GCG","GCK","KAT2A","GPLD1","GPT","HMGB1","IGF1","IGF2","INS","INSR","IRS1","MIR103A1","MIR107","MIR210","PHKG2","PMAIP1","PPARA","PPP4R3B","PTH","PTPN2","PPP1R3G","SRC","DYRK2","DGAT2","SLC45A3","SLC25A12","IRS2","KAT2B","ACTN3","PPP1R3E","RGN","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS.X[[i]]","SLC25A13","MAEA","B3GALT5","AKR1A1","B3GNT3","FAM3C","SORBS1","B3GNT2","FUT9","ARPP19","PPARGC1A","SDS","WDR5","CHST14","C1QTNF3","CLK2","CLTC","CRY1","SOGA1","SERPINA12","SLC25A10","SIK1","ERFE","AP2A1","DGKQ","DDB1","CHST13","AGL","B3GNT6","EGF","CRTC2","ENO1","ENO2","ENO3","EP300","AKT1","AKT2","ESRRB","EXT1","EXT2","PTK2B","FBP1","ALDOA","ALDOB","ALDOC","AKR1B1","PASK","SIRT1","SLC39A14","MTOR","FUT3","FUT8","G6PC","G6PD","SLC37A4","GAPDH","GBE1","GAPDHS","GCG","GCK","KAT2A","B4GALT1","GNMT","GOT1","GOT2","GPD1","GPI","PGM2L1","PGP","GPER1","GPT","GSK3A","GSK3B","GYG1","GYS1","GYS2","HAS1","HAS2","HAS3","ST6GALNAC6","HRH1","NDST1","ST8SIA6","IGF1","IGF2","IMPA1","IMPA2","INS","INSR","IRS1","B3GNT8","NHLRC1","C1QTNF12","LALBA","LEP","LEPR","LHCGR","MIR103A1","MIR107","MAS1","MDH1","MDH2","MGAT2","MST1","ATF3","ATF4","NFKB1","NTSR1","P2RY1","P2RY6","CHST11"
"GOBP_CARBOHYDRATE_CATABOLIC_PROCESS.X[[i]]","POM121C","FUT9","NUP50","NEU3","PPARGC1A","NUP42","NUDT5","CHIT1","TREH","SLC2A6","TREX1","NUP35","NEU4","GALM","GLYCTK","CTBS","AGL","PRXL2C","ENO1","ENO2","ENO3","EP300","ESRRB","ALDH1A1","FBP1","FOXK1","ALDOA","ALDOB","ALDOC","NUP205","NUP210","NUP160","MAN2B2","NUP188","NUP62","FUT1","FUT2","FUT4","FUT5","FUT6","FUT7","FUT8","G6PC","GAA","GK5","GALE","GALK1","GALT","GAPDH","TKFC","ZBTB20","GAPDHS","GCK","GCKR","NUPR1","GK","GK2","CHIA","GLB1","DHDH","GM2A","AMY2A","GPD1","GPD2","GPI","PGM2L1","GIT1","GSK3A","GUSB","HEXB","HIF1A","HK1","HK2","HK3","AOAH","HMGB1","HTR2A","JMJD8","IFNG","IGF1","NUP43","APP","FOXK2","INS","INSR","EIF6","KHK","ENO4","LDHA","LRP5","ARNT","MIR210","MAN2C1","MAN2B1","MANBA","IDNK","PGAM4","MYOG","NAGA","NEU1","NEU2","NUP88","NUP98","OGDH","P2RX7","DERA","MLXIPL","ZBTB7A","PRKAG2","PFKFB1","PFKFB2"
"GOBP_INSULIN_SECRETION.X[[i]]","ZBED6","TCIRG1","RAPGEF3","CFTR","CPLX1","RAPGEF4","ADCY5","CHGA","CAPN10","PARK7","ADCY8","UCN3","ADCYAP1","CNR1","ACVR1C","FAM3D","SLC9B2","CPT1A","CRH","GPR119","SYT9","ADRA2A","ADRA2C","SLC30A8","DPP4","DRD2","EFNA5","ENSA","EPHA5","ACSL4","RFX6","FKBP1B","RAB11FIP2","SIRT4","SIRT3","TARDBP","ARL2BP","ALOX5","STXBP4","MPC2","MYRIP","RAB11FIP5","KCNG2","GCG","GCK","GHSR","GIP","GIPR","GJA1","GLP1R","PCLO","GLUD1","GPLD1","GPR27","GPER1","FFAR1","PHPT1","SLC25A4","SLC25A5","SLC25A6","ANXA1","HADH","HIF1A","HLA-DRB1","FOXA2","HNF4A","ICA1","IFNG","BMP8A","IL1B","IL1RN","IL6","INHBB","PDX1","IRS1","ISL1","ITPR1","ITPR2","ITPR3","JAK2","KCNA5","KCNB1","KCNC2","ENHO","KCNJ11","KCNS3","KIF5B","ILDR2","C1QTNF12","MAFA","LEP","SNX19","ARL2","LRP1","LRP5","ARNTL","SMAD2","PIM3","MTNR1B","NEUROD1","NKX6-1","NNAT","NOS2","CCN3","OXCT1","PRKN","PCK2","GAL","CYB5R4","CDK16","SELENOT"
"GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION.X[[i]]","CFTR","CAPN10","ADCY8","UCN3","CRH","SLC30A8","ACSL4","RFX6","SIRT3","TARDBP","MPC2","MYRIP","GCG","GCK","GIP","GIPR","GJA1","GLUD1","GPLD1","GPR27","GPER1","FFAR1","PHPT1","HIF1A","HLA-DRB1","PDX1","ISL1","JAK2","KIF5B","C1QTNF12","LRP1","NKX6-1","NNAT","OXCT1","PCK2","GHRL","TM7SF3","PFKFB2","PPARD","TRPM4","ANO1","PPP3CB","CAMK2N1","PRKCE","PSMD9","BAD","CLTRN","NLGN2","RAC1","RBP4","BLK","NADK","AACS","SOX4","SRI","STX4","TCF7L2","TRH","VSNL1","GPR68","PLA2G6","NR0B2","DOC2B","CASR","DYNLL1","IRS2","BAIAP3","MCU","CD38","C2CD2L","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_RESPONSE_TO_INSULIN.X[[i]]","HDAC5","CDK4","TCIRG1","BAIAP2","SORBS1","SH2B2","RAB10","SLC27A4","RAB31","CAPN10","OSBPL8","AP3S1","ATP6V1G3","ACVR1C","CPEB2","ADM","OTOP1","UPRT","CRY1","SOGA1","PARP1","SESN3","SERPINA12","AANAT","ERFE","ATP6V0E2","AGRP","EGR1","EGR2","AHSG","EIF4EBP2","RAB12","EPRS1","AKT1","AKT2","FABP3","FER","SCAP","FOXC2","WDTC1","FOXO1","LPIN1","KANK1","CYFIP1","SIK2","TNS2","SIRT1","RHOQ","SLC39A14","ATP6V0A2","ATP6V0D2","ATP6V1C2","MTOR","FUT7","STXBP4","G6PC","GAB1","PCSK9","KBTBD2","APPL1","GCK","GCNT1","MSTN","GHRHR","GHSR","SNX5","GNAI2","GOT1","GOT2","GPLD1","GPR21","FFAR3","TRARG1","GPT","GRB2","GRB10","GRB14","KLF15","GSK3A","GSK3B","GSTP1","EEF2K","SLC2A8","APC","HSD11B2","ICAM1","APOBEC1","VWA2","IDE","IGF1R","IGF2","IGFBP1","APRT","IL1B","IL10","INHBB","INS","INPPL1","INSIG1","INSR","INSRR","IRS1","EIF6","ENHO","RAB15","SLC27A1","KHK","C1QTNF12","LEP","LPL","LYN"
"GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS.X[[i]]","HDAC5","CDK4","TCIRG1","BAIAP2","SORBS1","SH2B2","RAB10","SLC27A4","RAB31","CAPN10","OSBPL8","AP3S1","ATP6V1G3","CPEB2","OTOP1","SOGA1","PARP1","SESN3","SERPINA12","ERFE","ATP6V0E2","AHSG","EIF4EBP2","RAB12","EPRS1","AKT1","AKT2","FER","FOXC2","WDTC1","FOXO1","LPIN1","KANK1","CYFIP1","SIK2","TNS2","SIRT1","RHOQ","SLC39A14","ATP6V0A2","ATP6V0D2","ATP6V1C2","FUT7","STXBP4","G6PC","GAB1","PCSK9","APPL1","GCK","MSTN","GHRHR","GHSR","SNX5","GNAI2","GOT1","GPLD1","GPR21","FFAR3","TRARG1","GPT","GRB2","GRB10","GRB14","GSK3A","GSK3B","GSTP1","EEF2K","SLC2A8","APC","APOBEC1","VWA2","IDE","IGF1R","IGF2","IGFBP1","APRT","IL1B","INHBB","INS","INSIG1","INSR","INSRR","IRS1","ENHO","RAB15","SLC27A1","C1QTNF12","LEP","LPL","MIR103A1","MIR107","MARS1","RAB8A","FOXO4","MYO1C","MYO5A","NCK1","ATP2B1","TRIM72","OPA1","PAK1","ATP6V0A4","ZBTB7B","PCK1","PCK2","ADIPOR1","INSIG2","MZB1","ATP6V1D","PDE3B","ATP6V1H"
"GOBP_CARBOHYDRATE_HOMEOSTASIS.X[[i]]","ZBED6","RACK1","UNC13B","CEBPA","CFTR","GJB6","PPARGC1A","ADCY5","PARK7","ADCY8","CMA1","ACSM2A","CNR1","SLC9B2","CPB2","CRH","CRY1","CRY2","SESN3","ADRA2A","CYP7A1","CYP11B1","DBH","BHLHA15","AGER","EFNA5","CRTC2","ENDOG","SLC29A1","EPHA5","AKT1","ERN1","FABP5","ADGRF5","FOXK1","RFX6","FGFR4","FKBP1B","RAB11FIP2","FOXO1","SIRT1","SLC39A14","ALOX5","STXBP4","G6PC","BACE2","MPC2","SIN3A","RAB11FIP5","ZBTB20","GAS6","GATA4","FGF21","GCG","GCGR","GCK","GCKR","GHRHR","GCLM","GPLD1","HECTD4","GPR21","GPR27","GPER1","FFAR1","FFAR2","KLF15","GRIK5","PHPT1","HIF1A","HK1","HK2","HK3","HLA-DRB1","FOXA1","FOXA2","FOXA3","HNF4A","ICAM1","DUSP29","IGF1R","IGFBP5","IL6","FOXK2","INS","INSR","PDX1","IRS1","KCNB1","KCNJ11","KIF5B","C1QTNF12","LEP","LEPR","LGALS1","LRP1","LRP5","MIRLET7G","MIR103A1","MIR146A","MIR15A","MIR16-1","MIR33A","PIM3","BECN2","MTNR1B","NEUROD1","NGFR","NMB","NME1","NME2"
"GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT.X[[i]]","OCLN","SORBS1","ARPP19","SLC27A4","CAPN10","SLC2A6","OSBPL8","SLC5A11","SLC5A10","CREBL2","MAPK14","SLC2A14","MFSD4A","ERFE","SLC2A12","SLC2A7","EDN1","EDNRA","SLC5A9","AKT1","AKT2","FABP5","RHOQ","OPN3","STXBP4","CLIP3","APPL1","FGF21","SLC17A5","GH1","GIP","GPC3","TRARG1","GRB10","KLF15","GSK3A","SLC2A8","HK2","FFAR4","OSTN","IGF1","IL1B","INS","INSR","IRS1","SLC27A1","C1QTNF12","LEP","MIR103A1","MIR107","MIR143","MIR223","MEF2A","NFE2L2","SLC45A1","PRKAG2","ENPP1","INPP5K","PIK3R1","PLA2G1B","RAB4B","POU4F2","PPARD","PPBP","PID1","APPL2","TMEM144","ITLN1","ZDHHC7","PRKCB","SELENOS","PRKCI","SLC50A1","SLC2A9","PTH","TRIB3","PTPN11","RAP1A","RNASEL","RPS6KB1","RSC1A1","RTN2","SORT1","SLC2A1","SLC2A2","SLC2A3","SLC2A4","SLC2A5","SLC5A1","SLC5A2","SLC5A3","SLC5A4","SLC2A11","BRAF","STXBP3","HNF1A","TERT","TNF","C3","TSC1","ASPSCR1","ADIPOR2","NR4A3","SLC2A10","CLTCL1","SESN2","SLC45A3","IRS2","PEA15","MFSD4B","ADIPOQ"
"GOBP_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS.X[[i]]","B3GALT5","B3GNT3","SORBS1","B3GNT2","FUT9","AGL","B3GNT6","AKT1","AKT2","ESRRB","EXT1","EXT2","FBP1","AKR1B1","PASK","MTOR","GBE1","GCK","B4GALT1","GOT1","PGM2L1","PGP","GSK3A","GSK3B","GYG1","GYS1","GYS2","HAS1","HAS2","HAS3","NDST1","IGF1","IGF2","IMPA1","IMPA2","INS","INSR","IRS1","B3GNT8","NHLRC1","LALBA","LEP","PCK1","PCK2","ISYNA1","ENPP1","INPP5K","PGM1","PHKG1","PHKG2","PRKAG3","PPP1CA","PPP1CB","PPP1R3A","PPP1R3C","PPP1R3D","PGM2","CSGALNACT2","CSGALNACT1","SELENOS","PDXP","PTH","NDST4","PPP1R3G","SLC2A1","UGP2","B3GNT4","PPP1R3B","DYRK2","B3GNT9","NDST2","IRS2","B3GALNT1","B3GALT2","B3GALT1","FBP2","PER2","GYG2","PPP1R3F","PPP1R3E","B3GNT7","B4GALT5","NDST3","NR1D1","HS2ST1","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS.X[[i]]","ZBED6","CFTR","ADCY5","ADCY8","SLC9B2","CRH","ADRA2A","EFNA5","EPHA5","RFX6","FKBP1B","RAB11FIP2","STXBP4","MPC2","RAB11FIP5","GCG","GPLD1","GPR27","PHPT1","HIF1A","HLA-DRB1","FOXA2","PDX1","KIF5B","C1QTNF12","LRP1","LRP5","PIM3","OXCT1","CDK16","SELENOT","GHRL","PPARD","TRPM4","CCDC186","ANO1","PPP3CB","CAMK2N1","PRKCE","ENY2","BAD","CLTRN","PTPRN","PTPRN2","RAC1","RAF1","NADK","SRI","STX4","TIAM1","UCP2","VSNL1","GPR68","PLA2G6","JAGN1","KLF7","DYNLL1","BAIAP3","BRSK2","LRP5L","RAB11B","HMGN3","NR1D1","C2CD2L","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS.X[[i]]","CFTR","ADCY8","CRH","RFX6","MPC2","GCG","GPLD1","GPR27","PHPT1","HIF1A","HLA-DRB1","PDX1","KIF5B","C1QTNF12","LRP1","OXCT1","GHRL","PPARD","TRPM4","ANO1","PPP3CB","CAMK2N1","BAD","CLTRN","RAC1","NADK","SRI","STX4","VSNL1","GPR68","PLA2G6","DYNLL1","BAIAP3","C2CD2L","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION.X[[i]]","SIK1B","MYBBP1A","KPTN","SESN3","C12orf66","SIK1","NIM1K","BHLHA15","ATG14","FOXO3","SIK2","SZT2","RRP8","TBL2","SESN1","PIK3R4","HNRNPA1","HSPA5","IFI16","ASNS","ATF4","NFE2L2","SH3GLB1","PRKAG2","PIK3C3","PRKAG3","PMAIP1","IMPACT","PRKAA1","PRKAA2","PRKAG1","ITFG2","BCL2","SLC2A1","TP53","UPP1","XBP1","ZC3H12A","CPEB4","NUAK2","SESN2","BRSK1","BECN1","MTMR3","BRSK2","EIF2AK3","PICK1","NUAK1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS.X[[i]]","MAEA","FAM3C","SORBS1","ARPP19","PPARGC1A","WDR5","C1QTNF3","CLK2","CLTC","CRY1","SOGA1","SERPINA12","SIK1","ERFE","AP2A1","DGKQ","DDB1","EGF","EP300","AKT1","AKT2","ESRRB","PTK2B","FBP1","PASK","SIRT1","MTOR","GCG","GCK","KAT2A","GNMT","PGP","GPER1","GPT","GSK3A","GSK3B","HAS2","HRH1","IGF1","IGF2","INS","INSR","IRS1","C1QTNF12","LEP","LEPR","LHCGR","MIR103A1","MIR107","MAS1","MST1","NFKB1","NTSR1","P2RY1","P2RY6","SIRT7","PDGFB","PDK2","ENPP1","CD244","INPP5K","PLEK","PPARA","PPP1CA","PPP1CB","PPP1R3A","PPP1R3C","PPP1R3D","AVPR1B","SMPD3","SELENOS","SDHAF3","PPP4R3B","PTAFR","PTH","PTH1R","NLN","PTPN2","RANBP2","FAM3A","PPP1R3G","SNCA","TGFB1","USP7","PPP1R3B","SESN2","DYRK2","DGAT2","OGT","SLC35B4","IRS2","KAT2B","PPP1R3F","PPP1R3E","ADIPOQ","EPM2AIP1","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS.X[[i]]","POM121C","NUP50","PPARGC1A","NUP42","SLC2A6","TREX1","NUP35","PRXL2C","EP300","ESRRB","FBP1","NUP205","NUP210","NUP160","NUP188","NUP62","ZBTB20","GAPDHS","GCK","GCKR","NUPR1","GPD1","GIT1","GSK3A","HIF1A","HMGB1","HTR2A","JMJD8","IFNG","IGF1","NUP43","APP","INS","INSR","EIF6","ARNT","MIR210","MYOG","NUP88","NUP98","P2RX7","MLXIPL","ZBTB7A","PRKAG2","PFKFB1","PFKFB2","PFKFB3","PFKFB4","PGAM1","PHKG2","NUP54","DDIT4","PPARA","PPP1CA","PPP1CB","PPP1R3D","PRKAA1","PRKAA2","NDC1","PRKAG1","NUP133","PSEN1","TIGAR","NUP107","RANBP2","SEC13","SLC4A1","TP53","TPR","NUP37","PPP1R3B","NUP85","NUP214","AAAS","SEH1L","OGT","RAE1","SLC25A12","CBFA2T3","SLC4A4","ACTN3","SCARB2","ENTPD5","NCOR1","NUP155","NUP93","HDAC4","NUP58","POM121","NUP153","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS.X[[i]]","GSK3A","HMGB1","INS","PGAM1","PHKG2","PPP1CA","PPP1CB","PPP1R3D","TIGAR","TP53","PPP1R3B","SCARB2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
