"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"HP_HYPOINSULINEMIA.X[[i]]","APPL1","STAT6","ZFP57","NAB2","KCNJ11","GCK","HNF1A","INS","PDX1","KLF11","PAX4","ABCC8","DMXL2","RNF125","BLK","CEL","PLAGL1","NEUROD1","HNF4A","HYMAI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_IMPAIRED_GLUCOSE_TOLERANCE.X[[i]]","LRP6","APPL1","GCK","POLG2","SLC40A1","HSD3B2","USP8","PSMB8","PDX1","SLC5A1","KCNJ11","HNF1B","CEL","NEUROD1","HNF4A","IFT172","HNF1A","AIP","INS","LMNA","NSMCE2","SLC2A2","KLF11","INSR","CAV1","PAX4","MAFA","ESR1","ABCC8","BLK","WFS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS.X[[i]]","ZBED6","RACK1","UNC13B","CFTR","GJB6","PPARGC1A","ADCY5","ADCY8","CMA1","SLC9B2","CPB2","CRH","ADRA2A","CYP7A1","AGER","EFNA5","ENDOG","SLC29A1","EPHA5","ERN1","FOXK1","RFX6","FKBP1B","RAB11FIP2","FOXO1","SIRT1","SLC39A14","STXBP4","MPC2","SIN3A","RAB11FIP5","ZBTB20","GAS6","GATA4","FGF21","GCG","GCK","GHRHR","GCLM","GPLD1","GPR27","GPER1","KLF15","GRIK5","PHPT1","HIF1A","HK1","HK2","HK3","HLA-DRB1","FOXA2","FOXA3","ICAM1","IGF1R","FOXK2","PDX1","KCNB1","KCNJ11","KIF5B","C1QTNF12","LGALS1","LRP1","LRP5","MIRLET7G","MIR103A1","MIR146A","MIR15A","MIR16-1","PIM3","NEUROD1","NGFR","NME1","NME2","OPA1","OXCT1","PAX2","PCK1","PCK2","MLXIPL","CDK16","PDK3","SELENOT","GHRL","SERPINF1","PIK3CA","PIK3R1","PIK3R2","POLG","PPARD","TRPM4","PIH1D1","CCDC186","ANO1","PPP3CA","PPP3CB","CAMK2N1","PRKAA1","PRKAA2","PRKACA","PRKCE","TWNK","ENY2","BAD","CLTRN","WDR35","PTPRN","PTPRN2","RAC1","RAF1","TRA2B","NUCKS1"
"GOBP_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","GNPDA1","POM121C","GNE","PPP1R2P1","CHST4","SLC25A13","ZMPSTE24","BCKDK","MAEA","LANCL1","B3GALT5","AKR1A1","B3GNT3","BPNT1","ST3GAL6","FAM3C","NCOA2","SLC35A1","SORBS1","POMT1","B3GNT2","FUT9","NUP50","ARPP19","NEU3","PPARGC1A","MAN1A2","SDS","WDR5","NUP42","CHI3L1","NUDT5","CHI3L2","CHIT1","TREH","SLC2A6","NISCH","MAN1B1","DUSP12","TREX1","B4GALT7","GLB1L3","CHST14","C1QTNF1","C1QTNF3","OMA1","MOGAT1","GSTO2","CLK2","CLTC","A3GALT2","NUP35","NEU4","GALM","MDH1B","GLYCTK","GNPDA2","B3GAT2","COX11","CPT1A","CREM","CRY1","SOGA1","NANP","CS","MAPK14","B3GLCT","SERPINA12","SLC25A10","CTBS","SIK1","YDJC","ERFE","CYB5A","KLB","PPP1R2B","ADRB3","AP2A1","LDHAL6A","DGKQ","DDB1","CHST13","CYB5R3","DLAT","AGL","B3GNT6","EGF","PRXL2C","LCTL","FCSK","CRTC2","ENO1","ENO2","ENO3","EP300","AKT1","AKT2","ESRRB","EXT1","EXT2","ALDH1A1","ALDH2","FABP5","PTK2B","ALDH1B1","FBP1","BRAT1","FOXK1","ALDOA","ALDOB","RPIA"
"GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS.X[[i]]","HMGB1","INS","PHKG2","PPP1CA","PPP1CB","PPP1R3D","PPP1R3B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_GLUCOSE_METABOLIC_PROCESS.X[[i]]","SLC25A13","ZMPSTE24","BCKDK","MAEA","AKR1A1","FAM3C","NCOA2","SORBS1","ARPP19","PPARGC1A","SDS","WDR5","NISCH","DUSP12","C1QTNF1","C1QTNF3","OMA1","CLK2","GALM","COX11","CPT1A","CREM","CRY1","SOGA1","MAPK14","SERPINA12","SLC25A10","SIK1","ERFE","DGKQ","DDB1","DLAT","CRTC2","ENO1","ENO2","ENO3","EP300","AKT1","AKT2","ESRRB","FABP5","FBP1","BRAT1","FOXK1","ALDOA","ALDOB","ALDOC","WDTC1","PASK","SIRT1","MLYCD","SLC39A14","MTOR","G6PC","G6PD","SLC37A4","GAA","KBTBD2","GAPDH","GAPDHS","GCG","GCGR","GCK","GCKR","KAT2A","GNMT","GNB3","GOT1","GOT2","GPD1","GPI","GPLD1","PGM2L1","HECTD4","PGP","GPT","GSK3A","GSK3B","HK1","HK2","HK3","HMGB1","FOXA2","ONECUT1","ACACB","APOD","IGF1","IGF2","IGFBP3","IGFBP4","FOXK2","INS","INPPL1","INSR","PDX1","IRS1","KCNJ11","KHK","C1QTNF12","GDPGP1","LEP","LEPR","LRP5","MIR103A1","MIR107","MIR210","MDH1","MDH2","MST1","ATF3","ATF4"
"GOBP_GLUCOSE_CATABOLIC_PROCESS.X[[i]]","ENO1","ENO2","ENO3","FOXK1","ALDOA","ALDOB","ALDOC","GAPDH","GAPDHS","GCK","GPI","PGM2L1","HK1","HK2","HK3","FOXK2","LRP5","MIR210","PFKFB2","PFKL","PFKM","PFKP","PGAM1","PGAM2","PGK1","PKLR","PKM","TIGAR","BAD","BPGM","TP53","TPI1","TKTL1","ADPGK","SLC25A12","ACTN3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_UDP_GLUCOSE_METABOLIC_PROCESS.X[[i]]","GALT","GSK3A","UGGT2","UGGT1","UGP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","POM121C","ZMPSTE24","BCKDK","MAEA","FAM3C","NCOA2","SORBS1","NUP50","ARPP19","PPARGC1A","WDR5","NUP42","SLC2A6","DUSP12","TREX1","C1QTNF1","C1QTNF3","CLK2","CLTC","NUP35","COX11","CRY1","SOGA1","SERPINA12","SIK1","ERFE","AP2A1","DGKQ","DDB1","EGF","PRXL2C","EP300","AKT1","AKT2","ESRRB","PTK2B","FBP1","FOXK1","NUP205","PASK","NUP210","NUP160","SIRT1","MLYCD","NUP188","NUP62","MTOR","ZBTB20","GAPDHS","GCG","GCGR","GCK","GCKR","NUPR1","KAT2A","GNMT","GNB3","GPD1","GPLD1","PGP","GPER1","GPT","GIT1","GSK3A","GSK3B","HAS2","HIF1A","HMGB1","FOXA2","ACACB","HRH1","HTR2A","JMJD8","IFNG","IGF1","IGF2","IGFBP3","IGFBP4","NUP43","APP","FOXK2","INS","INSR","IRS1","EIF6","KHK","C1QTNF12","LEP","LEPR","LHCGR","ARNT","MIR103A1","MIR107","MIR210","MAS1","MST1","MYOG","NFKB1","NTSR1","NUP88","NUP98","P2RX7","P2RY1","P2RY6","PRKN","MLXIPL","ADIPOR1","ZBTB7A","PRKAG2","LCMT1","SIRT7"
"GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY.X[[i]]","CDK4","TCIRG1","BAIAP2","SORBS1","SH2B2","SLC27A4","OSBPL8","AP3S1","ATP6V1G3","SOGA1","SESN3","SERPINA12","ERFE","ATP6V0E2","AHSG","EIF4EBP2","AKT1","AKT2","FER","FOXC2","FOXO1","KANK1","SIK2","TNS2","SIRT1","RHOQ","SLC39A14","ATP6V0A2","ATP6V0D2","ATP6V1C2","FUT7","STXBP4","GAB1","APPL1","MSTN","SNX5","GNAI2","GPLD1","GPR21","FFAR3","GRB2","GRB10","GRB14","GSK3A","GSK3B","SLC2A8","APC","VWA2","IDE","IGF1R","IGF2","IGFBP1","IL1B","INS","INSR","INSRR","IRS1","ENHO","C1QTNF12","LEP","MIR103A1","MIR107","FOXO4","NCK1","TRIM72","OPA1","PAK1","ATP6V0A4","ZBTB7B","ADIPOR1","MZB1","ATP6V1D","ATP6V1H","PDK2","PDK4","ENPP1","INPP5K","ATP6V1A","ATP6V1B1","ATP6V1B2","ATP6V0C","ATP6V1C1","PIK3C2A","ATP6V1E1","PIK3CA","PIK3R1","PIK3R2","PIP4K2A","ATP6V0B","ATP6V1G2","ATP6V0A1","ATP6AP1","PID1","PHIP","PRKAA1","PRKCB","PRKCD","PRKCQ","PRKCZ","BAIAP2L1","PTPN1","PTPN2","NCOA5","PTPN11","PTPRA","PTPRE","RARRES2","RELA","RPE65","RPS6KB1","ZNF106"
